,car_id,date_time,lat,lon,work_mode,mileage,speed,avg_fuel_consumption,system_mode,grid
2095,e10562,2017-02-02 11:36:07,31.293642,121.50696,ws,54549.0,0.0,8.4,x0,20.0
2096,e10562,2017-02-02 11:35:06,31.293618,121.506936,ws,54549.0,0.0,8.4,x0,20.0
2106,e10562,2017-02-02 12:13:04,31.31293,121.53432,ws,54563.0,0.0,8.4,x0,23.0
2114,e10562,2017-02-02 12:45:59,31.266946,121.486624,ws,54576.0,0.0,8.4,x0,9.0
2272,e10562,2017-02-02 11:35:11,31.293614,121.506936,ws,54549.0,0.0,8.4,x0,20.0
2282,e10562,2017-02-02 12:13:14,31.312952000000006,121.534312,ws,54563.0,0.0,8.4,x0,23.0
2291,e10562,2017-02-02 12:35:40,31.294052,121.516304,ws,54571.0,0.0,8.4,x0,22.0
2292,e10562,2017-02-02 12:35:21,31.294052,121.516304,ws,54571.0,0.0,8.4,x0,22.0
2294,e10562,2017-02-02 12:40:19,31.293794,121.50736,ws,54572.0,0.0,8.4,x0,20.0
2436,e10562,2017-02-02 11:35:16,31.293614,121.506944,ws,54549.0,0.0,8.4,x0,20.0
2437,e10562,2017-02-02 11:35:26,31.293622,121.506952,ws,54549.0,0.0,8.4,x0,20.0
2451,e10562,2017-02-02 12:13:09,31.312942,121.534312,ws,54563.0,0.0,8.4,x0,23.0
2594,e10562,2017-02-02 12:45:49,31.266952000000003,121.486624,ws,54576.0,0.0,8.4,x0,9.0
2639,e10562,2017-02-02 20:11:52,31.228766,121.44216000000002,ws,54730.0,0.0,8.4,x0,35.0
2768,e10562,2017-02-02 12:41:07,31.293314,121.50668799999998,ws,54572.0,0.0,8.4,x0,20.0
2769,e10562,2017-02-02 12:46:17,31.266936,121.486632,ws,54576.0,0.0,8.4,x0,9.0
2909,e10562,2017-02-02 11:35:42,31.293636,121.50696,ws,54549.0,0.0,8.4,x0,20.0
2910,e10562,2017-02-02 11:35:47,31.293636,121.50696,ws,54549.0,0.0,8.4,x0,20.0
2928,e10562,2017-02-02 12:35:35,31.294054,121.516304,ws,54571.0,0.0,8.4,x0,22.0
2929,e10562,2017-02-02 12:35:26,31.294054,121.516304,ws,54571.0,0.0,8.4,x0,22.0
2975,e10562,2017-02-02 20:12:07,31.228736,121.442192,ws,54730.0,0.0,8.4,x0,35.0
2986,e10562,2017-02-02 20:37:21,31.22501,121.443616,ws,54735.0,0.0,8.4,x0,35.0
3089,e10562,2017-02-02 11:35:52,31.293640000000003,121.506952,ws,54549.0,0.0,8.4,x0,20.0
3090,e10562,2017-02-02 11:35:31,31.293628,121.50696,ws,54549.0,0.0,8.4,x0,20.0
3111,e10562,2017-02-02 12:46:22,31.266936,121.486624,ws,54576.0,0.0,8.4,x0,9.0
3149,e10562,2017-02-02 20:12:02,31.228728000000004,121.4422,ws,54730.0,0.0,8.4,x0,35.0
3154,e10562,2017-02-02 20:37:39,31.225032,121.443672,ws,54735.0,0.0,8.4,x0,35.0
3261,e10562,2017-02-02 11:35:37,31.293634,121.50696,ws,54549.0,0.0,8.4,x0,20.0
3281,e10562,2017-02-02 12:35:31,31.294054,121.516304,ws,54571.0,0.0,8.4,x0,22.0
3282,e10562,2017-02-02 12:41:17,31.293314,121.50668799999998,ws,54572.0,0.0,8.4,x0,20.0
3283,e10562,2017-02-02 12:40:24,31.293794,121.50736,ws,54572.0,0.0,8.4,x0,20.0
3284,e10562,2017-02-02 12:46:04,31.266942,121.486632,ws,54576.0,0.0,8.4,x0,9.0
3324,e10562,2017-02-02 20:11:57,31.228720000000006,121.442208,ws,54730.0,0.0,8.4,x0,35.0
