,car_id,date_time,lat,lon,power_mode,mileage,speed,fuel_consumption,grid
2040,r78150,2017-01-30 07:21:01,31.292606,121.43596,dph,1123.0,77.3,135354,18.0
2041,r78150,2017-01-30 07:21:06,31.292806,121.437078,dph,1123.0,76.1,135360,18.0
2042,r78150,2017-01-30 07:21:11,31.293025,121.438167,dph,1123.0,75.6,135367,18.0
2043,r78150,2017-01-30 07:21:16,31.293257,121.439239,dph,1123.0,73.9,135374,18.0
2101,r78150,2017-01-30 07:26:25,31.300442,121.506071,dph,1130.0,68.9,135835,50.0
2102,r78150,2017-01-30 07:26:30,31.300746000000004,121.507008,dph,1130.0,66.2,135845,50.0
2103,r78150,2017-01-30 07:26:35,31.301025,121.507919,dph,1130.0,67.0,135858,50.0
2104,r78150,2017-01-30 07:26:40,31.301297,121.508856,dph,1130.0,65.6,135870,50.0
2105,r78150,2017-01-30 07:26:45,31.301578000000006,121.509768,dph,1130.0,69.2,135882,50.0
4829,r34091,2017-01-30 08:32:57,31.185124,121.356031,dph,1552.0,5.3,174240,24.0
4830,r34091,2017-01-30 08:33:02,31.185196,121.35602,dph,1552.0,4.6,174241,24.0
5801,r77138,2017-01-30 15:49:51,31.151462,121.510632,dph,2176.0,84.7,241609,4.0
5802,r77138,2017-01-30 15:49:56,31.151728,121.511842,dph,2176.0,84.7,241620,4.0
5803,r77138,2017-01-30 15:50:01,31.15208,121.51308799999998,dph,2176.0,92.0,241644,4.0
5804,r77138,2017-01-30 15:50:06,31.152509,121.514413,dph,2176.0,97.1,241667,4.0
7031,r78150,2017-01-30 08:58:02,31.301798,121.50985,dph,1136.0,67.7,136752,50.0
7032,r78150,2017-01-30 08:58:07,31.301497,121.508901,dph,1136.0,68.5,136758,50.0
7033,r78150,2017-01-30 08:58:12,31.301193,121.507922,dph,1136.0,72.4,136764,50.0
7034,r78150,2017-01-30 08:58:17,31.300879,121.506899,dph,1136.0,72.5,136767,50.0
7035,r78150,2017-01-30 08:58:22,31.30058,121.505891,dph,1136.0,73.2,136769,50.0
7089,r78150,2017-01-30 09:03:16,31.293529,121.439895,dph,1143.0,79.4,137355,18.0
7090,r78150,2017-01-30 09:03:21,31.293274,121.438729,dph,1143.0,83.1,137363,18.0
7091,r78150,2017-01-30 09:03:26,31.293041,121.43759,dph,1143.0,73.5,137365,18.0
7092,r78150,2017-01-30 09:03:31,31.292847,121.436489,dph,1143.0,80.6,137383,18.0
7093,r78150,2017-01-30 09:03:36,31.292652,121.435331,dph,1143.0,79.4,137392,18.0
10702,r77717,2017-01-30 11:21:10,31.247016,121.468267,dph,4626.0,0.0,630570,19.0
10711,r50549,2017-01-30 13:06:20,31.197055,121.315711,dph,19874.0,0.0,1569203,1.0
11291,r77717,2017-01-30 11:21:15,31.247017,121.468267,dph,4626.0,0.0,630571,19.0
14715,r4356,2017-01-30 15:23:26,31.236609,121.408732,dph,1653.0,0.0,91566,28.0
16283,r70223,2017-01-30 15:14:37,31.154791,121.514903,dph,3113.0,60.2,372280,4.0
20389,r60740,2017-01-30 07:42:08,31.150775,121.482857,dph,3474.0,115.4,400630,8.0
20390,r60740,2017-01-30 07:42:13,31.152202000000006,121.482336,dph,3474.0,123.5,400662,8.0
20391,r60740,2017-01-30 07:42:18,31.153752,121.481796,dph,3474.0,124.4,400687,8.0
20559,r66437,2017-01-30 09:48:07,31.28398,121.478323,dph,9549.0,58.7,890711,48.0
20560,r66437,2017-01-30 09:48:12,31.283193,121.47829,dph,9549.0,65.7,890727,48.0
20561,r66437,2017-01-30 09:48:17,31.282348,121.478225,dph,9549.0,67.5,890735,48.0
20562,r66437,2017-01-30 09:48:22,31.281517,121.477971,dph,9549.0,65.7,890742,48.0
20563,r66437,2017-01-30 09:48:27,31.280825,121.477465,dph,9549.0,65.7,890748,48.0
20564,r66437,2017-01-30 09:48:32,31.280296000000003,121.47667,dph,9549.0,70.4,890757,48.0
20565,r66437,2017-01-30 09:48:37,31.279845,121.475766,dph,9550.0,70.5,890763,47.0
20577,r66437,2017-01-30 09:49:37,31.270756,121.46990900000002,dph,9551.0,50.2,890822,45.0
20578,r66437,2017-01-30 09:49:42,31.270322,121.46936,dph,9551.0,47.2,890825,45.0
20598,r66437,2017-01-30 09:51:22,31.262079,121.454439,dph,9552.0,62.5,890968,38.0
20599,r66437,2017-01-30 09:51:27,31.261847,121.453539,dph,9553.0,65.3,890971,38.0
20600,r66437,2017-01-30 09:51:32,31.261628,121.452605,dph,9553.0,67.8,890974,38.0
20601,r66437,2017-01-30 09:51:37,31.261409000000004,121.451657,dph,9553.0,65.2,890977,38.0
20602,r66437,2017-01-30 09:51:42,31.261222,121.450746,dph,9553.0,58.1,890977,38.0
20609,r66437,2017-01-30 09:52:17,31.260004,121.444629,dph,9553.0,57.5,891012,36.0
20620,r66437,2017-01-30 09:53:17,31.256461,121.43344,dph,9555.0,69.7,891099,33.0
20621,r66437,2017-01-30 09:53:22,31.256075,121.432505,dph,9555.0,70.1,891105,33.0
20622,r66437,2017-01-30 09:53:27,31.255596,121.431669,dph,9555.0,65.9,891108,33.0
20623,r66437,2017-01-30 09:53:32,31.254992,121.431002,dph,9555.0,68.9,891116,32.0
20624,r66437,2017-01-30 09:53:37,31.254297,121.430397,dph,9555.0,65.6,891119,32.0
20641,r66437,2017-01-30 09:55:57,31.239392,121.409784,dph,9557.0,50.0,891275,28.0
20642,r66437,2017-01-30 09:56:02,31.238836,121.409381,dph,9558.0,52.8,891281,28.0
20643,r66437,2017-01-30 09:56:07,31.238284000000004,121.408968,dph,9558.0,51.0,891285,28.0
20644,r66437,2017-01-30 09:56:12,31.237712,121.408521,dph,9558.0,54.8,891292,28.0
20645,r66437,2017-01-30 09:56:17,31.237145,121.408097,dph,9558.0,51.1,891294,28.0
20646,r66437,2017-01-30 09:56:22,31.236527,121.407691,dph,9558.0,63.0,891313,28.0
20647,r66437,2017-01-30 09:56:27,31.23582,121.407179,dph,9558.0,66.6,891323,28.0
20648,r66437,2017-01-30 09:56:32,31.235036,121.406697,dph,9558.0,70.5,891331,28.0
20687,r66437,2017-01-30 09:59:47,31.206290000000006,121.404777,dph,9561.0,38.9,891567,27.0
20688,r66437,2017-01-30 09:59:52,31.206043,121.404442,dph,9561.0,22.3,891567,27.0
20689,r66437,2017-01-30 09:59:57,31.205888,121.404219,dph,9561.0,18.9,891569,27.0
20690,r66437,2017-01-30 10:00:02,31.205743,121.40401,dph,9561.0,16.9,891570,27.0
20691,r66437,2017-01-30 10:00:07,31.205678,121.403949,dph,9561.0,0.0,891572,27.0
20692,r66437,2017-01-30 10:00:12,31.205675,121.403935,dph,9561.0,1.1,891574,27.0
20693,r66437,2017-01-30 10:00:17,31.205626,121.403879,dph,9561.0,6.5,891576,27.0
20694,r66437,2017-01-30 10:00:22,31.205572,121.40381399999998,dph,9561.0,1.2,891577,27.0
20695,r66437,2017-01-30 10:00:27,31.205536,121.403764,dph,9561.0,9.6,891580,27.0
20696,r66437,2017-01-30 10:00:37,31.205384,121.403557,dph,9562.0,23.2,891588,27.0
20697,r66437,2017-01-30 10:00:42,31.205137,121.403224,dph,9562.0,27.4,891593,27.0
20735,r66437,2017-01-30 10:03:52,31.202034,121.394835,dph,9562.0,35.4,891704,26.0
20736,r66437,2017-01-30 10:03:57,31.201889,121.394318,dph,9562.0,38.0,891709,26.0
20737,r66437,2017-01-30 10:04:02,31.201741,121.393746,dph,9563.0,44.6,891717,26.0
20738,r66437,2017-01-30 10:04:07,31.20157,121.393108,dph,9563.0,44.0,891721,26.0
20739,r66437,2017-01-30 10:04:12,31.20137,121.392508,dph,9563.0,44.6,891725,26.0
20740,r66437,2017-01-30 10:04:17,31.201129,121.391886,dph,9563.0,50.1,891731,26.0
20741,r66437,2017-01-30 10:04:22,31.200834000000004,121.391196,dph,9563.0,53.2,891738,26.0
20742,r66437,2017-01-30 10:04:27,31.200481,121.390537,dph,9563.0,50.8,891740,26.0
22085,r66437,2017-01-30 19:51:13,31.180043,121.436729,dph,9709.0,62.7,904421,17.0
22086,r66437,2017-01-30 19:51:18,31.180438,121.437541,dph,9710.0,61.6,904425,17.0
22087,r66437,2017-01-30 19:51:23,31.180988,121.438245,dph,9710.0,66.5,904436,17.0
22088,r66437,2017-01-30 19:51:28,31.181590000000003,121.439028,dph,9710.0,73.7,904451,17.0
22089,r66437,2017-01-30 19:51:33,31.182228,121.439878,dph,9710.0,77.3,904461,17.0
22170,r66437,2017-01-30 19:58:18,31.225341,121.465749,dph,9717.0,47.1,904956,44.0
22171,r66437,2017-01-30 19:58:23,31.225801,121.465244,dph,9717.0,54.7,904970,44.0
22185,r66437,2017-01-30 19:59:33,31.23525,121.462043,dph,9718.0,48.6,905027,41.0
22186,r66437,2017-01-30 19:59:38,31.235896,121.461943,dph,9718.0,57.1,905038,41.0
22187,r66437,2017-01-30 19:59:43,31.236638,121.46174,dph,9718.0,62.1,905048,41.0
22188,r66437,2017-01-30 19:59:48,31.237332,121.461438,dph,9718.0,53.4,905049,41.0
22189,r66437,2017-01-30 19:59:53,31.237890000000004,121.461097,dph,9718.0,50.7,905053,41.0
22190,r66437,2017-01-30 19:59:58,31.238506,121.460704,dph,9718.0,55.6,905063,41.0
22191,r66437,2017-01-30 20:00:03,31.239153,121.460293,dph,9718.0,64.5,905073,41.0
