trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.1}",20,0,-150.6530575952768,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.010000000000000002}",20,0,-190.62168957528897,"{0: 11, 1: 0, 2: 2, 3: 5, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.0010000000000000002}",20,0,-106.4768402761869,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.00010000000000000002}",25,0,-64.41406828060633,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,0,-180.60201685867366,"{0: 12, 1: 0, 2: 1, 3: 5, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,0,-98.62889761258894,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,0,-80.75057890485975,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
8,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,5,-14.88501476755714,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,0,-166.44786796770728,"{0: 12, 1: 0, 2: 2, 3: 4, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,2,-174.58403559681446,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 3}",1
11,False,"{'a': 0.1, 'e': 0.00010000000000000002}",25,0,-89.2092208086527,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.00010000000000000002}",25,15,-58.9852449831406,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
13,False,"{'a': 0.1, 'e': 0.00010000000000000002}",25,0,-113.19105662312245,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.00010000000000000002}",25,3,-97.34993792023276,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 2}",1
15,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,0,-106.11733217032766,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.00010000000000000002}",25,11,-43.85963239430063,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.1, 'e': 0.00010000000000000002}",30,11,-57.01710591907681,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.1, 'e': 0.00010000000000000002}",30,0,-135.5667327732932,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,0,-166.68546139412894,"{0: 12, 1: 0, 2: 2, 3: 4, 4: 2}",0
20,False,"{'a': 0.1, 'e': 0.00010000000000000002}",20,10,-23.182915960027195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,0,-30.348868896310904,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-92.23330417645093,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-103.92190893093942,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,7,-33.35050427880299,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,14,-1.6140309306034153,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,-57.52684280395477,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",25,8,-24.248995503709445,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,22.854663038153912,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,18,-4.907213683814309,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-50.16032637408267,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",25,0,15.829931874529283,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,4,-10.302313855731434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,True,"{'a': 0, 'e': 0}",35,19,22.704159197553672,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,0,-52.25485412665746,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
15,True,"{'a': 0, 'e': 0}",20,0,2.2195890036437156,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,True,"{'a': 0, 'e': 0}",30,13,-18.120880549745987,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,True,"{'a': 0, 'e': 0}",20,0,-62.50357962875392,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
18,True,"{'a': 0, 'e': 0}",25,15,3.2059926788744706,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,12,14.364392830298067,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,0,-8.621716706790826,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
21,True,"{'a': 0, 'e': 0}",30,16,2.6046715661829776,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,2,-63.591393928674734,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 1}",1
23,True,"{'a': 0, 'e': 0}",20,2,16.41546563659187,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,0,3.7868481519002337,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
25,True,"{'a': 0, 'e': 0}",35,9,-65.73791473206163,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 2}",1
26,True,"{'a': 0, 'e': 0}",20,7,8.939291349448899,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",30,1,-25.81269936545866,"{0: 26, 1: 0, 2: 0, 3: 3, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,20,5.8308096830095675,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,8,18.408232196944866,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,0,-18.49325333881293,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
31,True,"{'a': 0, 'e': 0}",20,16,6.4055538545410755,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",30,17,9.984680560036917,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",20,3,22.017301166877107,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",25,11,-44.50762368274434,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
35,True,"{'a': 0, 'e': 0}",20,8,-38.34333864297404,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
36,True,"{'a': 0, 'e': 0}",30,19,-44.431681510934894,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
37,True,"{'a': 0, 'e': 0}",20,0,-44.02455288370618,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
38,True,"{'a': 0, 'e': 0}",20,0,-233.73309399006072,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 5}",0
39,True,"{'a': 0, 'e': 0}",25,8,-34.87225750665948,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
40,True,"{'a': 0, 'e': 0}",25,16,14.448145583268852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",25,4,-6.951427133532747,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,16,8.339187021754729,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",30,8,-4.188123823567286,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,True,"{'a': 0, 'e': 0}",30,0,30.036742174265136,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
45,True,"{'a': 0, 'e': 0}",30,15,13.285136580126974,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",20,9,17.586027378930496,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",20,12,14.989793991973308,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",25,8,12.739384359506548,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,11,18.0335208307135,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",25,0,-26.41646551173371,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
